Data;deflator
1976;1.20272506549401
1977;1.65234771857065
1978;2.38481158749348
1979;3.8638491170862
1980;
1981;14.8258832331721
1982;29.0084477382438
1983;73.3226273339406
1984;213.725864027326
1985;675.928506374717
1986;1.33832276618019
1987;5.35504742853415
1988;43.5903128383451
1989;0.599291009270828
1990;17.9316490884248
1991;
1992;1107.6986702084
1993;22.9087115551822
1994;
1995;0.266959680945215
1996;0.300080092918343
1997;0.313091269342323
1998;0.322707003211372
1999;0.343473844452181
2000;
2001;0.39439393842166
2002;0.433524036753337
2003;0.506480034011867
2004;0.536048462422018
2005;0.563968123196638
2006;0.579689669380711
2007;0.607793299133652
2008;0.6512487333823
2009;0.679323422856252
2010;
2011;0.763332523575054
2012;0.807460130475534
2013;0.852971445664505
2014;0.908124826516497
2015;1
